Response ID,Time Started,Date Submitted,Status,Language,"What's your experience with Web Components (custom elements, shadow DOM, etc.)?","Children changed callback:For your needs as a developer, which Web Components features should be improved across browsers in the coming year? This means enabling support or fixing bugs. (This is not a complete list, other features may also be planned.)","Composed selection:For your needs as a developer, which Web Components features should be improved across browsers in the coming year? This means enabling support or fixing bugs. (This is not a complete list, other features may also be planned.)","Constructable stylesheets & adoptedStyleSheets:For your needs as a developer, which Web Components features should be improved across browsers in the coming year? This means enabling support or fixing bugs. (This is not a complete list, other features may also be planned.)","Cross-root ARIA:For your needs as a developer, which Web Components features should be improved across browsers in the coming year? This means enabling support or fixing bugs. (This is not a complete list, other features may also be planned.)","CSS module scripts:For your needs as a developer, which Web Components features should be improved across browsers in the coming year? This means enabling support or fixing bugs. (This is not a complete list, other features may also be planned.)","CSS Properties and Values API inside shadow root:For your needs as a developer, which Web Components features should be improved across browsers in the coming year? This means enabling support or fixing bugs. (This is not a complete list, other features may also be planned.)","Custom attributes:For your needs as a developer, which Web Components features should be improved across browsers in the coming year? This means enabling support or fixing bugs. (This is not a complete list, other features may also be planned.)","Custom CSS state:For your needs as a developer, which Web Components features should be improved across browsers in the coming year? This means enabling support or fixing bugs. (This is not a complete list, other features may also be planned.)","Custom SVG/MathML elements:For your needs as a developer, which Web Components features should be improved across browsers in the coming year? This means enabling support or fixing bugs. (This is not a complete list, other features may also be planned.)","Declarative CSS modules:For your needs as a developer, which Web Components features should be improved across browsers in the coming year? This means enabling support or fixing bugs. (This is not a complete list, other features may also be planned.)","Declarative custom elements:For your needs as a developer, which Web Components features should be improved across browsers in the coming year? This means enabling support or fixing bugs. (This is not a complete list, other features may also be planned.)","Declarative shadow DOM:For your needs as a developer, which Web Components features should be improved across browsers in the coming year? This means enabling support or fixing bugs. (This is not a complete list, other features may also be planned.)","Form-Associated custom elements:For your needs as a developer, which Web Components features should be improved across browsers in the coming year? This means enabling support or fixing bugs. (This is not a complete list, other features may also be planned.)","HTML modules:For your needs as a developer, which Web Components features should be improved across browsers in the coming year? This means enabling support or fixing bugs. (This is not a complete list, other features may also be planned.)","Imperative slot assignment:For your needs as a developer, which Web Components features should be improved across browsers in the coming year? This means enabling support or fixing bugs. (This is not a complete list, other features may also be planned.)","Lazy custom element definitions:For your needs as a developer, which Web Components features should be improved across browsers in the coming year? This means enabling support or fixing bugs. (This is not a complete list, other features may also be planned.)","Open styling of shadow roots:For your needs as a developer, which Web Components features should be improved across browsers in the coming year? This means enabling support or fixing bugs. (This is not a complete list, other features may also be planned.)","Scoped element registries:For your needs as a developer, which Web Components features should be improved across browsers in the coming year? This means enabling support or fixing bugs. (This is not a complete list, other features may also be planned.)","Styling children of slotted content:For your needs as a developer, which Web Components features should be improved across browsers in the coming year? This means enabling support or fixing bugs. (This is not a complete list, other features may also be planned.)","Template instantiation and updating:For your needs as a developer, which Web Components features should be improved across browsers in the coming year? This means enabling support or fixing bugs. (This is not a complete list, other features may also be planned.)","Theming:For your needs as a developer, which Web Components features should be improved across browsers in the coming year? This means enabling support or fixing bugs. (This is not a complete list, other features may also be planned.)"
169,"Mar 29, 2023 5:04:29 am","Mar 29, 2023 5:04:29 am",Complete,English,Never heard of them,,,,,,,,,,,,,,,,,,,,,
170,"Mar 29, 2023 5:07:39 am","Mar 29, 2023 5:07:39 am",Complete,English,Never heard of them,,,,,,,,,,,,,,,,,,,,,
171,"Mar 29, 2023 5:09:15 am","Mar 29, 2023 5:09:15 am",Complete,English,Never heard of them,,,,,,,,,,,,,,,,,,,,,
172,"Mar 29, 2023 5:12:37 am","Mar 29, 2023 5:12:37 am",Complete,English,Never heard of them,,,,,,,,,,,,,,,,,,,,,
173,"Mar 29, 2023 5:12:38 am","Mar 29, 2023 5:12:38 am",Complete,English,Have used them,I need this,I need this,,,,,I need this,,,,,I need this,,,,I need this,,,,,I need this
174,"Mar 29, 2023 5:13:35 am","Mar 29, 2023 5:13:35 am",Complete,English,Never heard of them,,,,,,,,,,,,,,,,,,,,,
175,"Mar 29, 2023 5:15:17 am","Mar 29, 2023 5:15:17 am",Complete,English,Have used them,I need this,I need this,I need this,I don't care/don't know,I don't care/don't know,I don't need this,I need this,I don't care/don't know,I don't care/don't know,I don't care/don't know,I don't care/don't know,I don't care/don't know,I don't care/don't know,I need this,I don't care/don't know,I need this,I don't care/don't know,I need this,I need this,I don't care/don't know,I need this
176,"Mar 29, 2023 5:15:22 am","Mar 29, 2023 5:15:22 am",Complete,English,Never heard of them,,,,,,,,,,,,,,,,,,,,,
177,"Mar 29, 2023 5:16:46 am","Mar 29, 2023 5:16:46 am",Complete,English,Know about them,I need this,I don't care/don't know,I need this,I don't care/don't know,I need this,I need this,I need this,I need this,I need this,I need this,I don't care/don't know,I don't care/don't know,I don't care/don't know,I don't care/don't know,I need this,I need this,I don't care/don't know,I don't care/don't know,I don't care/don't know,I don't care/don't know,I need this
178,"Mar 29, 2023 5:38:42 am","Mar 29, 2023 5:38:42 am",Complete,English,Never heard of them,,,,,,,,,,,,,,,,,,,,,
179,"Mar 29, 2023 5:41:00 am","Mar 29, 2023 5:41:00 am",Complete,English,Never heard of them,,,,,,,,,,,,,,,,,,,,,
180,"Mar 29, 2023 5:41:14 am","Mar 29, 2023 5:41:14 am",Complete,English,Never heard of them,,,,,,,,,,,,,,,,,,,,,
181,"Mar 29, 2023 5:41:55 am","Mar 29, 2023 5:41:55 am",Complete,English,Have used them,I need this,,,I need this,I need this,I need this,I need this,I need this,I need this,I need this,I need this,I need this,,I need this,,I need this,I need this,I need this,I need this,I need this,
182,"Mar 29, 2023 5:48:49 am","Mar 29, 2023 5:48:49 am",Complete,English,Have used them,I need this,I don't need this,I need this,I don't need this,I need this,I don't need this,I need this,I don't care/don't know,I don't need this,I need this,I don't care/don't know,I don't need this,I don't need this,I don't need this,I don't need this,I don't need this,I don't care/don't know,I don't need this,I don't need this,I need this,I don't need this
183,"Mar 29, 2023 6:00:08 am","Mar 29, 2023 6:00:08 am",Complete,English,Never heard of them,,,,,,,,,,,,,,,,,,,,,
184,"Mar 29, 2023 6:11:02 am","Mar 29, 2023 6:11:02 am",Complete,English,Have used them,I don't need this,I don't care/don't know,I don't need this,I don't need this,I don't need this,I don't need this,I don't need this,I don't care/don't know,I need this,I don't care/don't know,I need this,I don't need this,I need this,I don't care/don't know,I need this,I need this,I don't need this,I don't care/don't know,I need this,I need this,I need this
185,"Mar 29, 2023 6:12:25 am","Mar 29, 2023 6:12:25 am",Complete,English,Never heard of them,,,,,,,,,,,,,,,,,,,,,
186,"Mar 29, 2023 6:13:22 am","Mar 29, 2023 6:13:22 am",Complete,English,Know about them,I need this,I don't care/don't know,I don't care/don't know,I need this,I need this,I need this,I need this,I need this,I don't care/don't know,I don't care/don't know,I need this,I need this,I don't care/don't know,I don't care/don't know,I don't care/don't know,I need this,I don't care/don't know,I don't care/don't know,I need this,I need this,I don't care/don't know
187,"Mar 29, 2023 6:15:15 am","Mar 29, 2023 6:15:15 am",Complete,English,Have used them,I don't care/don't know,,,,I need this,I need this,I don't care/don't know,I need this,I don't care/don't know,,I need this,I need this,I don't need this,I need this,I don't care/don't know,I need this,I need this,I need this,I need this,I don't care/don't know,I need this
188,"Mar 29, 2023 6:27:16 am","Mar 29, 2023 6:27:16 am",Complete,English,Never heard of them,,,,,,,,,,,,,,,,,,,,,
189,"Mar 29, 2023 6:30:29 am","Mar 29, 2023 6:30:29 am",Complete,English,Never heard of them,,,,,,,,,,,,,,,,,,,,,
190,"Mar 29, 2023 6:31:47 am","Mar 29, 2023 6:31:47 am",Complete,English,Never heard of them,,,,,,,,,,,,,,,,,,,,,
191,"Mar 29, 2023 6:35:49 am","Mar 29, 2023 6:35:49 am",Complete,English,Never heard of them,,,,,,,,,,,,,,,,,,,,,
192,"Mar 29, 2023 6:42:44 am","Mar 29, 2023 6:42:44 am",Complete,English,Never heard of them,,,,,,,,,,,,,,,,,,,,,
193,"Mar 29, 2023 6:46:49 am","Mar 29, 2023 6:46:49 am",Complete,English,Never heard of them,,,,,,,,,,,,,,,,,,,,,
194,"Mar 29, 2023 6:46:57 am","Mar 29, 2023 6:46:57 am",Complete,English,Know about them,I need this,I don't care/don't know,I don't care/don't know,I don't care/don't know,I don't care/don't know,I don't care/don't know,I need this,I don't care/don't know,I don't care/don't know,I don't care/don't know,I don't care/don't know,I don't care/don't know,I need this,I need this,I don't care/don't know,I don't care/don't know,I don't care/don't know,I don't care/don't know,I don't care/don't know,I don't care/don't know,I need this
195,"Mar 29, 2023 6:52:47 am","Mar 29, 2023 6:52:47 am",Complete,English,Never heard of them,,,,,,,,,,,,,,,,,,,,,
196,"Mar 29, 2023 6:52:49 am","Mar 29, 2023 6:52:49 am",Complete,English,Never heard of them,,,,,,,,,,,,,,,,,,,,,
197,"Mar 29, 2023 6:55:24 am","Mar 29, 2023 6:55:24 am",Complete,English,Know about them,I need this,I don't care/don't know,I don't care/don't know,I don't care/don't know,I don't care/don't know,I need this,I need this,I need this,I need this,I need this,I need this,I need this,I need this,I need this,I don't care/don't know,I don't care/don't know,I need this,I don't care/don't know,I need this,I need this,I need this
198,"Mar 29, 2023 6:55:21 am","Mar 29, 2023 6:55:21 am",Complete,English,Have used them,I don't care/don't know,I don't care/don't know,I don't care/don't know,I don't care/don't know,I don't care/don't know,I need this,I need this,I need this,I need this,I don't care/don't know,I need this,I don't care/don't know,I don't care/don't know,I need this,I don't care/don't know,I don't care/don't know,I don't care/don't know,I don't care/don't know,I don't care/don't know,I don't care/don't know,I need this
199,"Mar 29, 2023 6:58:29 am","Mar 29, 2023 6:58:29 am",Complete,English,Have used them,I need this,I need this,I need this,I don't care/don't know,I need this,I need this,I need this,I need this,I need this,I need this,I need this,I don't care/don't know,I don't care/don't know,I need this,I need this,I need this,I don't care/don't know,I need this,I need this,I need this,I need this
200,"Mar 29, 2023 6:59:09 am","Mar 29, 2023 6:59:09 am",Complete,English,Never heard of them,,,,,,,,,,,,,,,,,,,,,
201,"Mar 29, 2023 7:02:30 am","Mar 29, 2023 7:02:30 am",Complete,English,Have used them,I need this,I don't care/don't know,I don't care/don't know,I don't care/don't know,I don't care/don't know,I don't care/don't know,I don't care/don't know,I don't care/don't know,I don't care/don't know,I don't care/don't know,I need this,I need this,I need this,I don't need this,I need this,I need this,I don't need this,I need this,I need this,I need this,I don't care/don't know
202,"Mar 29, 2023 7:03:32 am","Mar 29, 2023 7:03:32 am",Complete,English,Never heard of them,,,,,,,,,,,,,,,,,,,,,
203,"Mar 29, 2023 7:07:39 am","Mar 29, 2023 7:07:39 am",Complete,English,Never heard of them,,,,,,,,,,,,,,,,,,,,,
204,"Mar 29, 2023 7:08:28 am","Mar 29, 2023 7:08:28 am",Complete,English,Know about them,I need this,I don't care/don't know,I need this,I don't care/don't know,I don't care/don't know,I need this,I need this,I don't need this,I don't need this,I need this,I need this,I need this,I need this,I don't care/don't know,I don't care/don't know,I don't care/don't know,I need this,I don't care/don't know,I need this,I don't care/don't know,I need this
205,"Mar 29, 2023 7:08:32 am","Mar 29, 2023 7:08:32 am",Complete,English,Know about them,,,,,,,,,,,,,,,,,,,,,
206,"Mar 29, 2023 7:15:39 am","Mar 29, 2023 7:15:39 am",Complete,English,Know about them,I need this,I need this,I need this,I need this,I need this,I need this,I need this,I need this,I need this,I need this,I need this,I need this,I need this,I need this,I need this,I need this,I need this,I need this,I need this,I need this,I need this
207,"Mar 29, 2023 7:17:35 am","Mar 29, 2023 7:17:35 am",Complete,English,Have used them,I need this,I don't care/don't know,I need this,I don't care/don't know,I don't care/don't know,I need this,I need this,I don't care/don't know,I don't care/don't know,I don't care/don't know,I don't care/don't know,I don't care/don't know,I need this,I don't care/don't know,I don't need this,I don't care/don't know,I need this,I don't care/don't know,I need this,I don't care/don't know,I need this
208,"Mar 29, 2023 7:26:02 am","Mar 29, 2023 7:26:02 am",Complete,English,Never heard of them,,,,,,,,,,,,,,,,,,,,,
209,"Mar 29, 2023 7:29:39 am","Mar 29, 2023 7:29:39 am",Complete,English,Never heard of them,,,,,,,,,,,,,,,,,,,,,
210,"Mar 29, 2023 7:31:18 am","Mar 29, 2023 7:31:18 am",Complete,English,Have used them,I need this,I don't care/don't know,I don't need this,I don't care/don't know,I need this,I need this,I need this,I don't care/don't know,I don't care/don't know,I need this,I don't care/don't know,I don't need this,I don't care/don't know,I don't care/don't know,I don't care/don't know,I don't need this,I need this,I don't care/don't know,I need this,I don't need this,I don't care/don't know
211,"Mar 29, 2023 7:42:53 am","Mar 29, 2023 7:42:53 am",Complete,English,Never heard of them,,,,,,,,,,,,,,,,,,,,,
212,"Mar 29, 2023 7:43:54 am","Mar 29, 2023 7:43:54 am",Complete,English,Never heard of them,,,,,,,,,,,,,,,,,,,,,
213,"Mar 29, 2023 7:44:24 am","Mar 29, 2023 7:44:24 am",Complete,English,Never heard of them,,,,,,,,,,,,,,,,,,,,,
214,"Mar 29, 2023 7:46:42 am","Mar 29, 2023 7:46:42 am",Complete,English,Have used them,I need this,I need this,I need this,I don't need this,I need this,I need this,I need this,I need this,I don't need this,I need this,I need this,I need this,I need this,I need this,I don't need this,I don't need this,I don't need this,I don't need this,I don't need this,I don't need this,I need this
215,"Mar 29, 2023 7:51:06 am","Mar 29, 2023 7:51:06 am",Complete,English,Never heard of them,,,,,,,,,,,,,,,,,,,,,
216,"Mar 29, 2023 7:51:41 am","Mar 29, 2023 7:51:41 am",Complete,English,Know about them,I don't care/don't know,I need this,I don't need this,I don't need this,I don't care/don't know,I don't care/don't know,I need this,I don't care/don't know,I don't care/don't know,I need this,I need this,I need this,I don't care/don't know,I need this,I need this,I need this,I don't care/don't know,I don't need this,I need this,I need this,I need this
217,"Mar 29, 2023 7:52:20 am","Mar 29, 2023 7:52:20 am",Complete,English,Have used them,I need this,I need this,I need this,I don't care/don't know,I need this,I need this,I need this,I need this,I don't care/don't know,I need this,I don't care/don't know,I need this,I don't care/don't know,I need this,I don't care/don't know,I don't care/don't know,I need this,I don't care/don't know,I need this,I don't care/don't know,I need this
218,"Mar 29, 2023 7:53:05 am","Mar 29, 2023 7:53:05 am",Complete,English,Never heard of them,,,,,,,,,,,,,,,,,,,,,
219,"Mar 29, 2023 7:53:29 am","Mar 29, 2023 7:53:29 am",Complete,English,Never heard of them,,,,,,,,,,,,,,,,,,,,,
220,"Mar 29, 2023 7:55:43 am","Mar 29, 2023 7:55:43 am",Complete,English,Know about them,I need this,I need this,,I don't care/don't know,I don't care/don't know,I need this,I need this,I don't care/don't know,,I need this,I need this,I need this,I need this,I need this,I don't care/don't know,I need this,I need this,I need this,I need this,I need this,I need this
221,"Mar 29, 2023 7:55:49 am","Mar 29, 2023 7:55:49 am",Complete,English,Know about them,,,,,,,,,,,,,,,,,,,,,
222,"Mar 29, 2023 8:04:55 am","Mar 29, 2023 8:04:55 am",Complete,English,Know about them,I don't care/don't know,I don't care/don't know,I don't care/don't know,I don't care/don't know,I don't care/don't know,I don't care/don't know,I don't care/don't know,I don't care/don't know,I don't care/don't know,I don't care/don't know,I don't care/don't know,I don't care/don't know,I don't care/don't know,I don't care/don't know,I don't care/don't know,I don't care/don't know,I don't care/don't know,I don't care/don't know,I don't care/don't know,I don't care/don't know,I don't care/don't know
223,"Mar 29, 2023 8:05:06 am","Mar 29, 2023 8:05:06 am",Complete,English,Have used them,,I don't care/don't know,I don't care/don't know,I need this,,I don't care/don't know,I need this,I don't care/don't know,,I don't care/don't know,I need this,,I don't care/don't know,I don't care/don't know,I don't care/don't know,I need this,I need this,I don't care/don't know,I don't need this,,I need this
224,"Mar 29, 2023 8:06:15 am","Mar 29, 2023 8:06:15 am",Complete,English,Never heard of them,,,,,,,,,,,,,,,,,,,,,
225,"Mar 29, 2023 8:09:31 am","Mar 29, 2023 8:09:31 am",Complete,English,Know about them,I don't care/don't know,I don't care/don't know,I don't care/don't know,I don't care/don't know,I don't care/don't know,I don't care/don't know,I don't care/don't know,I don't care/don't know,I don't care/don't know,I don't care/don't know,I don't care/don't know,I don't care/don't know,I don't care/don't know,I don't care/don't know,I don't care/don't know,I don't care/don't know,I don't care/don't know,I don't care/don't know,I don't care/don't know,I don't care/don't know,I don't care/don't know
226,"Mar 29, 2023 8:11:07 am","Mar 29, 2023 8:11:07 am",Complete,English,Have used them,I don't need this,I don't care/don't know,I don't need this,I don't need this,I don't need this,I don't need this,I don't need this,I don't care/don't know,I don't need this,I don't need this,I don't need this,I don't need this,I need this,I don't care/don't know,I need this,I don't need this,I don't need this,I don't need this,I need this,I don't need this,I don't care/don't know
227,"Mar 29, 2023 8:17:50 am","Mar 29, 2023 8:17:50 am",Complete,English,Never heard of them,,,,,,,,,,,,,,,,,,,,,
228,"Mar 29, 2023 8:18:32 am","Mar 29, 2023 8:18:32 am",Complete,English,,,,,,,,,,,,,,,,,,,,,,
229,"Mar 29, 2023 8:23:35 am","Mar 29, 2023 8:23:35 am",Complete,English,Know about them,,,,,,,,,I need this,,,,,I need this,I need this,,,,,I need this,I need this
230,"Mar 29, 2023 8:27:25 am","Mar 29, 2023 8:27:25 am",Complete,English,Never heard of them,,,,,,,,,,,,,,,,,,,,,
231,"Mar 29, 2023 8:29:26 am","Mar 29, 2023 8:29:26 am",Complete,English,Know about them,,,,,,,,,,,,,,I don't need this,,,,,,,
232,"Mar 29, 2023 8:31:20 am","Mar 29, 2023 8:31:20 am",Complete,English,Have used them,I don't care/don't know,I don't care/don't know,I don't care/don't know,I don't care/don't know,I don't care/don't know,I don't care/don't know,I don't care/don't know,I don't care/don't know,I don't care/don't know,I don't care/don't know,I don't care/don't know,I don't care/don't know,I don't care/don't know,I need this,I don't care/don't know,I don't care/don't know,I don't care/don't know,I don't care/don't know,I don't care/don't know,I don't care/don't know,I need this
233,"Mar 29, 2023 8:31:25 am","Mar 29, 2023 8:31:25 am",Complete,English,Never heard of them,,,,,,,,,,,,,,,,,,,,,
234,"Mar 29, 2023 8:31:54 am","Mar 29, 2023 8:31:54 am",Complete,English,Never heard of them,,,,,,,,,,,,,,,,,,,,,
235,"Mar 29, 2023 8:34:39 am","Mar 29, 2023 8:34:39 am",Complete,English,Never heard of them,,,,,,,,,,,,,,,,,,,,,
236,"Mar 29, 2023 8:36:53 am","Mar 29, 2023 8:36:53 am",Complete,English,Know about them,I need this,I don't care/don't know,I don't care/don't know,I don't care/don't know,I don't care/don't know,I don't care/don't know,I need this,I don't care/don't know,I don't care/don't know,I don't care/don't know,I don't care/don't know,I don't care/don't know,I don't care/don't know,I need this,I don't care/don't know,I don't care/don't know,I don't care/don't know,I don't care/don't know,I don't care/don't know,I don't care/don't know,I don't care/don't know
237,"Mar 29, 2023 8:39:57 am","Mar 29, 2023 8:39:57 am",Complete,English,Have used them,I need this,I don't care/don't know,I don't care/don't know,I don't care/don't know,I don't care/don't know,I don't care/don't know,I need this,I don't care/don't know,I don't care/don't know,I don't care/don't know,I don't care/don't know,I don't care/don't know,I don't care/don't know,I don't care/don't know,I don't care/don't know,I don't care/don't know,I need this,I don't care/don't know,I don't care/don't know,I need this,I don't care/don't know
238,"Mar 29, 2023 8:43:09 am","Mar 29, 2023 8:43:09 am",Complete,English,Have used them,I need this,I need this,I need this,I need this,I need this,I need this,I need this,I need this,I need this,I need this,I need this,I need this,I need this,I need this,I need this,I need this,I need this,I need this,I need this,I need this,I need this
239,"Mar 29, 2023 8:48:49 am","Mar 29, 2023 8:48:49 am",Complete,English,Never heard of them,,,,,,,,,,,,,,,,,,,,,
240,"Mar 29, 2023 8:53:13 am","Mar 29, 2023 8:53:13 am",Complete,English,Have used them,I need this,I need this,I need this,I don't care/don't know,I need this,I don't care/don't know,I need this,I don't need this,I don't need this,I don't care/don't know,I need this,I don't care/don't know,I need this,I need this,I need this,I don't care/don't know,I don't care/don't know,I don't care/don't know,I don't need this,I need this,I need this
241,"Mar 29, 2023 8:56:01 am","Mar 29, 2023 8:56:01 am",Complete,English,Have used them,I don't care/don't know,I don't care/don't know,I don't care/don't know,I don't care/don't know,I need this,I don't care/don't know,I need this,I need this,I don't need this,I need this,I need this,I need this,I need this,I need this,I need this,I need this,I need this,I don't care/don't know,I need this,I need this,I need this
242,"Mar 29, 2023 8:57:46 am","Mar 29, 2023 8:57:46 am",Complete,English,Know about them,I don't need this,I don't care/don't know,I don't need this,I need this,I don't care/don't know,I don't care/don't know,I need this,I don't care/don't know,I don't need this,I don't care/don't know,I need this,I don't care/don't know,I need this,I don't care/don't know,I don't care/don't know,I need this,I don't need this,I don't need this,I don't need this,I don't care/don't know,I don't need this
243,"Mar 29, 2023 8:58:46 am","Mar 29, 2023 8:58:46 am",Complete,English,Have used them,I don't care/don't know,I don't care/don't know,I need this,I need this,I need this,I don't care/don't know,I need this,I don't care/don't know,I don't care/don't know,I don't care/don't know,I need this,I need this,I don't care/don't know,I don't care/don't know,I don't care/don't know,I need this,I need this,I don't care/don't know,I don't care/don't know,I need this,I need this
244,"Mar 29, 2023 8:59:56 am","Mar 29, 2023 8:59:56 am",Complete,English,Never heard of them,,,,,,,,,,,,,,,,,,,,,
245,"Mar 29, 2023 9:01:29 am","Mar 29, 2023 9:01:29 am",Complete,English,Never heard of them,,,,,,,,,,,,,,,,,,,,,
246,"Mar 29, 2023 9:05:08 am","Mar 29, 2023 9:05:08 am",Complete,English,Never heard of them,,,,,,,,,,,,,,,,,,,,,
247,"Mar 29, 2023 9:05:27 am","Mar 29, 2023 9:05:27 am",Complete,English,,,,,,,,,,,,,,,,,,,,,,
248,"Mar 29, 2023 9:05:56 am","Mar 29, 2023 9:05:56 am",Complete,English,Have used them,I need this,,,,I need this,I need this,I need this,I need this,,I need this,I need this,I need this,,I need this,I need this,I need this,I need this,,I need this,,I need this
249,"Mar 29, 2023 9:11:53 am","Mar 29, 2023 9:11:53 am",Complete,English,Know about them,,,,,,,,,,,,,,,,,,,,,
250,"Mar 29, 2023 9:14:06 am","Mar 29, 2023 9:14:06 am",Complete,English,Have used them,,,,,,,,,,,,,,,,,,,,,
251,"Mar 29, 2023 9:26:04 am","Mar 29, 2023 9:26:04 am",Complete,English,Have used them,I don't care/don't know,I don't care/don't know,I don't care/don't know,I need this,I need this,I don't care/don't know,I need this,I need this,I need this,I don't care/don't know,I don't care/don't know,I don't care/don't know,I need this,I need this,I don't care/don't know,I need this,I don't care/don't know,I don't care/don't know,I don't care/don't know,I don't care/don't know,I need this
252,"Mar 29, 2023 9:30:11 am","Mar 29, 2023 9:30:11 am",Complete,English,Have used them,I need this,I don't need this,I don't care/don't know,I need this,I don't care/don't know,I need this,I need this,I don't care/don't know,I don't need this,I need this,I don't care/don't know,I need this,I don't care/don't know,I need this,I need this,I don't care/don't know,I don't need this,I don't care/don't know,I don't care/don't know,I need this,I need this
253,"Mar 29, 2023 9:38:44 am","Mar 29, 2023 9:38:44 am",Complete,English,Never heard of them,,,,,,,,,,,,,,,,,,,,,
254,"Mar 29, 2023 9:40:29 am","Mar 29, 2023 9:40:29 am",Complete,English,Have used them,I don't need this,I don't care/don't know,I need this,I don't care/don't know,I need this,I need this,I need this,I need this,I don't care/don't know,I don't care/don't know,I need this,I need this,I need this,I don't care/don't know,I need this,I don't care/don't know,I don't care/don't know,I don't care/don't know,I need this,I don't care/don't know,I don't care/don't know
255,"Mar 29, 2023 9:41:01 am","Mar 29, 2023 9:41:01 am",Complete,English,Never heard of them,,,,,,,,,,,,,,,,,,,,,
256,"Mar 29, 2023 9:43:50 am","Mar 29, 2023 9:43:50 am",Complete,English,Have used them,I don't need this,I don't need this,I need this,I need this,I don't care/don't know,I need this,I need this,I don't need this,I don't need this,I don't care/don't know,I need this,I need this,I don't care/don't know,I need this,I don't care/don't know,I don't need this,I don't need this,I need this,I don't need this,I need this,I need this
257,"Mar 29, 2023 9:44:04 am","Mar 29, 2023 9:44:04 am",Complete,English,Have used them,I need this,I don't need this,I don't care/don't know,I don't need this,I need this,I don't care/don't know,I need this,I don't care/don't know,I need this,I don't care/don't know,I don't care/don't know,I don't care/don't know,I don't care/don't know,I don't care/don't know,I don't need this,I don't care/don't know,I don't need this,I don't care/don't know,I don't care/don't know,I need this,I don't need this
258,"Mar 29, 2023 9:48:29 am","Mar 29, 2023 9:48:29 am",Complete,English,Have used them,I need this,I don't care/don't know,I don't care/don't know,I don't care/don't know,I need this,I don't care/don't know,I need this,I don't care/don't know,I don't care/don't know,,I need this,I don't care/don't know,I need this,I need this,I don't care/don't know,I don't care/don't know,I don't care/don't know,I don't care/don't know,I don't care/don't know,I need this,I need this
259,"Mar 29, 2023 9:51:17 am","Mar 29, 2023 9:51:17 am",Complete,English,Know about them,I don't care/don't know,I need this,I need this,I don't care/don't know,I need this,I need this,I need this,I don't care/don't know,I need this,I need this,I need this,I need this,I don't care/don't know,I need this,I don't care/don't know,I don't care/don't know,I need this,I need this,I need this,I don't care/don't know,I need this
260,"Mar 29, 2023 9:51:42 am","Mar 29, 2023 9:51:42 am",Complete,English,Never heard of them,,,,,,,,,,,,,,,,,,,,,
261,"Mar 29, 2023 9:55:28 am","Mar 29, 2023 9:55:28 am",Complete,English,Have used them,I need this,I don't care/don't know,I don't care/don't know,I don't need this,I don't care/don't know,I don't care/don't know,I need this,I need this,I need this,I need this,I need this,I don't care/don't know,I don't care/don't know,I need this,I don't care/don't know,I don't care/don't know,I don't care/don't know,I don't care/don't know,I need this,I don't care/don't know,I don't care/don't know
262,"Mar 29, 2023 9:58:09 am","Mar 29, 2023 9:58:09 am",Complete,English,Have used them,I don't care/don't know,I don't care/don't know,I don't care/don't know,I don't care/don't know,I need this,I need this,I don't care/don't know,I don't care/don't know,I don't care/don't know,I need this,I need this,I need this,I don't care/don't know,I need this,I don't care/don't know,I need this,I need this,I don't care/don't know,I need this,I don't care/don't know,I need this
263,"Mar 29, 2023 9:58:26 am","Mar 29, 2023 9:58:26 am",Complete,English,Never heard of them,,,,,,,,,,,,,,,,,,,,,
264,"Mar 29, 2023 9:58:57 am","Mar 29, 2023 9:58:57 am",Complete,English,Have used them,I don't need this,I don't care/don't know,I don't care/don't know,I don't care/don't know,I don't care/don't know,I don't care/don't know,I need this,I don't care/don't know,I don't care/don't know,I need this,I need this,I need this,I don't care/don't know,I don't care/don't know,I don't care/don't know,I don't care/don't know,I don't care/don't know,I don't care/don't know,I don't care/don't know,I need this,I need this
265,"Mar 29, 2023 9:59:55 am","Mar 29, 2023 9:59:55 am",Complete,English,Know about them,I need this,I need this,I need this,I need this,I need this,I need this,I need this,I need this,I need this,I need this,I need this,I need this,I need this,I need this,I need this,I need this,I need this,I need this,I need this,I need this,I need this
266,"Mar 29, 2023 10:02:29 am","Mar 29, 2023 10:02:29 am",Complete,English,Never heard of them,,,,,,,,,,,,,,,,,,,,,
267,"Mar 29, 2023 10:05:12 am","Mar 29, 2023 10:05:12 am",Complete,English,Never heard of them,,,,,,,,,,,,,,,,,,,,,
268,"Mar 29, 2023 10:06:00 am","Mar 29, 2023 10:06:00 am",Complete,English,Never heard of them,,,,,,,,,,,,,,,,,,,,,
269,"Mar 29, 2023 10:06:44 am","Mar 29, 2023 10:06:44 am",Complete,English,Have used them,,,,,,,,,,,I need this,I need this,,,,,,,,I need this,I need this
270,"Mar 29, 2023 10:11:24 am","Mar 29, 2023 10:11:24 am",Complete,English,Never heard of them,,,,,,,,,,,,,,,,,,,,,
271,"Mar 29, 2023 10:20:33 am","Mar 29, 2023 10:20:33 am",Complete,English,Know about them,,,,,,,,,,,,,,,,,,,,,
272,"Mar 29, 2023 10:29:36 am","Mar 29, 2023 10:29:36 am",Complete,English,Have used them,I don't care/don't know,I don't need this,I need this,I need this,I need this,I need this,I need this,I need this,I don't care/don't know,I need this,I need this,I need this,I need this,I need this,I need this,I need this,I don't care/don't know,I need this,I don't care/don't know,I need this,I need this
