Response ID,Time Started,Date Submitted,Status,Legacy Comments,Comments,Language,Referer,User Agent,Tags,Chrome desktop:A web feature must be supported by these browsers before you can use it:,Chrome on Android:A web feature must be supported by these browsers before you can use it:,Android Webview:A web feature must be supported by these browsers before you can use it:,Firefox desktop:A web feature must be supported by these browsers before you can use it:,Firefox on Android:A web feature must be supported by these browsers before you can use it:,Edge desktop:A web feature must be supported by these browsers before you can use it:,Internet Explorer:A web feature must be supported by these browsers before you can use it:,Safari desktop:A web feature must be supported by these browsers before you can use it:,Safari on iOS:A web feature must be supported by these browsers before you can use it:,Opera desktop:A web feature must be supported by these browsers before you can use it:,Opera on Android:A web feature must be supported by these browsers before you can use it:,Samsung Internet:A web feature must be supported by these browsers before you can use it:,Other - Please specify:A web feature must be supported by these browsers before you can use it:,Other - Please specify:A web feature must be supported by these browsers before you can use it:,Other - Please specify:A web feature must be supported by these browsers before you can use it:,Other - Please specify:A web feature must be supported by these browsers before you can use it:,"For those browsers, how far back do they need to support a feature before you can use it?","Do you need other browsers to be included in the compatibility tables on MDN? If so, tell us which ones:",How important is it for you to know about browser support for experimental features that must be enabled by the user?,How important is it for you to know whether a browser is planning to ship a feature behind a user preference in an upcoming release?
208,"Oct 18, 2022 9:39:10 am","Oct 18, 2022 9:39:10 am",Complete,,,English,https://developer.mozilla.org/,,,Chrome desktop,,,Firefox desktop,,,,,,,,,,,,,Current major version is enough,,Somewhat important,Somewhat important
209,"Oct 18, 2022 9:54:06 am","Oct 18, 2022 9:54:06 am",Complete,,,English,https://developer.mozilla.org/,,,Chrome desktop,Chrome on Android,,Firefox desktop,Firefox on Android,Edge desktop,,Safari desktop,Safari on iOS,Opera desktop,Opera on Android,Samsung Internet,,,,,Needs to be supported in current and previous major version,,Very important,Very important
210,"Oct 18, 2022 9:58:17 am","Oct 18, 2022 9:58:17 am",Complete,,,English,https://developer.mozilla.org/,,,Chrome desktop,Chrome on Android,Android Webview,Firefox desktop,,Edge desktop,,Safari desktop,Safari on iOS,,,,,,,,Needs to be supported in current and previous major version,"Ladybird (joking, but would be cool)",Neutral,Very important
211,"Oct 18, 2022 10:12:25 am","Oct 18, 2022 10:12:26 am",Complete,,,English,https://developer.mozilla.org/,,,Chrome desktop,,,,,,,,,,,,,,,,Needs to be supported in current and previous major version,Chrome,Very important,Very important
212,"Oct 18, 2022 10:19:10 am","Oct 18, 2022 10:19:11 am",Complete,,,English,https://developer.mozilla.org/,,,Chrome desktop,,,Firefox desktop,,,,,Safari on iOS,,,,,,,,Current major version is enough,no,Somewhat important,Somewhat important
213,"Oct 18, 2022 10:23:53 am","Oct 18, 2022 10:23:53 am",Complete,,,English,https://developer.mozilla.org/,,,Chrome desktop,Chrome on Android,,Firefox desktop,,Edge desktop,,Safari desktop,Safari on iOS,,,,,,,,Needs to be supported in current and previous major version,,Somewhat important,Somewhat important
214,"Oct 18, 2022 10:28:53 am","Oct 18, 2022 10:28:53 am",Complete,,,English,https://developer.mozilla.org/,,,Chrome desktop,,,,,Edge desktop,,Safari desktop,,,,,,Other - Please specify,,"Supported by > 95% of client usage or polyfill available; High-value browser features with lower customer support rate can be adopted by directing unsupported clients to a ""legacy"" branch of the product but this has its own concerns so isn't done often.",Needs to be supported in current and previous major version,,Very important,Very important
215,"Oct 18, 2022 10:32:47 am","Oct 18, 2022 10:32:47 am",Complete,,,English,https://developer.mozilla.org/,,,Chrome desktop,Chrome on Android,,Firefox desktop,Firefox on Android,,,Safari desktop,Safari on iOS,,,,,,,,Current major version is enough,,Very important,Very important
216,"Oct 18, 2022 10:49:41 am","Oct 18, 2022 10:49:41 am",Complete,,,English,https://developer.mozilla.org/,,,Chrome desktop,Chrome on Android,,Firefox desktop,,,,Safari desktop,Safari on iOS,,,,,,,,Depends on the browser,,Neutral,Somewhat important
217,"Oct 18, 2022 11:03:47 am","Oct 18, 2022 11:03:47 am",Complete,,,English,https://developer.mozilla.org/,,,Chrome desktop,Chrome on Android,Android Webview,Firefox desktop,,Edge desktop,,Safari desktop,Safari on iOS,,,,,,,,Current major version is enough,,Neutral,Neutral
218,"Oct 18, 2022 11:05:51 am","Oct 18, 2022 11:05:51 am",Complete,,,English,https://developer.mozilla.org/,,,,,,,,,,,,,,,,,,,Needs to be supported in current and previous major version,,Neutral,Very important
219,"Oct 18, 2022 11:09:09 am","Oct 18, 2022 11:09:09 am",Complete,,,English,https://developer.mozilla.org/,,,Chrome desktop,,,Firefox desktop,,,,,,,,,,,,,Current major version is enough,,Somewhat important,Very important
220,"Oct 18, 2022 11:28:26 am","Oct 18, 2022 11:28:26 am",Complete,,,English,https://developer.mozilla.org/,,,Chrome desktop,Chrome on Android,,Firefox desktop,,Edge desktop,,Safari desktop,Safari on iOS,Opera desktop,,,,Other - Please specify,,,Needs to be supported in more than current and previous major version,,Very important,Neutral
221,"Oct 18, 2022 11:28:51 am","Oct 18, 2022 11:28:51 am",Complete,,,English,https://developer.mozilla.org/,,,,,,,,,,Safari desktop,,,,,,,,,Current major version is enough,,Neutral,Somewhat important
222,"Oct 18, 2022 11:48:08 am","Oct 18, 2022 11:48:08 am",Complete,,,English,https://developer.mozilla.org/,,,Chrome desktop,Chrome on Android,Android Webview,,,,,Safari desktop,Safari on iOS,,,,,,,,Needs to be supported in current and previous major version,,Somewhat important,Neutral
223,"Oct 18, 2022 11:54:24 am","Oct 18, 2022 11:54:24 am",Complete,,,English,https://developer.mozilla.org/,,,Chrome desktop,Chrome on Android,,Firefox desktop,Firefox on Android,Edge desktop,,Safari desktop,Safari on iOS,,,,,,,,Current major version is enough,,Somewhat important,Very important
224,"Oct 18, 2022 12:03:38 pm","Oct 18, 2022 12:03:38 pm",Complete,,,English,https://developer.mozilla.org/,,,Chrome desktop,Chrome on Android,,Firefox desktop,Firefox on Android,Edge desktop,Internet Explorer,Safari desktop,Safari on iOS,,,,,,,,Current major version is enough,,Not important,Neutral
225,"Oct 18, 2022 12:04:47 pm","Oct 18, 2022 12:04:47 pm",Complete,,,English,https://developer.mozilla.org/,,,Chrome desktop,Chrome on Android,Android Webview,Firefox desktop,Firefox on Android,Edge desktop,,,Safari on iOS,,,,,,,,Depends on the browser,,Somewhat important,Very important
226,"Oct 18, 2022 12:12:24 pm","Oct 18, 2022 12:12:24 pm",Complete,,,English,https://developer.mozilla.org/,,,Chrome desktop,Chrome on Android,,Firefox desktop,,Edge desktop,,Safari desktop,Safari on iOS,,,,,,,,Current major version is enough,,Somewhat important,Very important
227,"Oct 18, 2022 12:15:24 pm","Oct 18, 2022 12:15:24 pm",Complete,,,English,https://developer.mozilla.org/,,,,,,,,,,Safari desktop,,,,,,,,,Current major version is enough,,Neutral,Somewhat important
228,"Oct 18, 2022 12:17:36 pm","Oct 18, 2022 12:17:36 pm",Complete,,,English,https://developer.mozilla.org/,,,Chrome desktop,Chrome on Android,,Firefox desktop,Firefox on Android,Edge desktop,,Safari desktop,Safari on iOS,,,,,,,,Current major version is enough,,Very important,Very important
229,"Oct 18, 2022 12:33:35 pm","Oct 18, 2022 12:33:35 pm",Complete,,,English,https://developer.mozilla.org/,,,Chrome desktop,Chrome on Android,,Firefox desktop,Firefox on Android,Edge desktop,,Safari desktop,Safari on iOS,Opera desktop,Opera on Android,,,,,,Current major version is enough,,Very important,Very important
230,"Oct 18, 2022 12:56:42 pm","Oct 18, 2022 12:56:42 pm",Complete,,,English,https://developer.mozilla.org/,,,,,,,,,,,,,,,,Other - Please specify,,Whatever I am interested in exploring at the time,Current major version is enough,n/a,Somewhat important,Somewhat important
231,"Oct 18, 2022 12:56:43 pm","Oct 18, 2022 12:56:44 pm",Complete,,,English,https://developer.mozilla.org/,,,,,,,,,,,,,,,,Other - Please specify,,security,Needs to be supported in current and previous major version,"chrome, edge",Very important,Neutral
232,"Oct 18, 2022 1:34:31 pm","Oct 18, 2022 1:34:31 pm",Complete,,,English,https://developer.mozilla.org/,,,Chrome desktop,Chrome on Android,Android Webview,Firefox desktop,Firefox on Android,,,Safari desktop,Safari on iOS,,,Samsung Internet,,,,,Depends on the browser,,,
233,"Oct 18, 2022 1:40:07 pm","Oct 18, 2022 1:40:07 pm",Complete,,,English,https://developer.mozilla.org/,,,Chrome desktop,Chrome on Android,Android Webview,Firefox desktop,Firefox on Android,,,Safari desktop,Safari on iOS,,,,,,,,Depends on the browser,,Neutral,Neutral
234,"Oct 18, 2022 1:43:58 pm","Oct 18, 2022 1:43:58 pm",Complete,,,English,https://developer.mozilla.org/,,,Chrome desktop,,,Firefox desktop,,,,Safari desktop,Safari on iOS,,,,,,,,Current major version is enough,,Very important,Very important
235,"Oct 18, 2022 2:05:22 pm","Oct 18, 2022 2:05:22 pm",Complete,,,English,https://developer.mozilla.org/,,,Chrome desktop,Chrome on Android,,Firefox desktop,,Edge desktop,,Safari desktop,Safari on iOS,,,,,,,,Current major version is enough,,Very important,Very important
236,"Oct 18, 2022 2:05:34 pm","Oct 18, 2022 2:05:34 pm",Complete,,,English,https://developer.mozilla.org/,,,Chrome desktop,Chrome on Android,,,,,,,,,,,,,,,Needs to be supported in current and previous major version,,Not important,Neutral
237,"Oct 18, 2022 2:05:56 pm","Oct 18, 2022 2:05:56 pm",Complete,,,English,https://developer.mozilla.org/,,,,,,Firefox desktop,Firefox on Android,Edge desktop,,,,,,,,,,,Current major version is enough,,Somewhat important,Somewhat important
238,"Oct 18, 2022 2:09:22 pm","Oct 18, 2022 2:09:22 pm",Complete,,,English,https://developer.mozilla.org/,,,Chrome desktop,,,Firefox desktop,,,,,,,,,,,,,Needs to be supported in current and previous major version,,Somewhat important,Somewhat important
239,"Oct 18, 2022 2:19:40 pm","Oct 18, 2022 2:19:40 pm",Complete,,,English,https://developer.mozilla.org/,,,Chrome desktop,Chrome on Android,Android Webview,Firefox desktop,Firefox on Android,Edge desktop,,Safari desktop,Safari on iOS,,,,,,,,Current major version is enough,,Somewhat important,Somewhat important
240,"Oct 18, 2022 2:27:41 pm","Oct 18, 2022 2:27:41 pm",Complete,,,English,https://developer.mozilla.org/,,,Chrome desktop,Chrome on Android,,Firefox desktop,,Edge desktop,,Safari desktop,Safari on iOS,,,Samsung Internet,,,,,Needs to be supported in more than current and previous major version,,Neutral,Neutral
241,"Oct 18, 2022 2:45:44 pm","Oct 18, 2022 2:45:44 pm",Complete,,,English,https://developer.mozilla.org/,,,Chrome desktop,,,,,,,Safari desktop,Safari on iOS,,,,,,,,Current major version is enough,,Somewhat important,Somewhat important
242,"Oct 18, 2022 3:17:44 pm","Oct 18, 2022 3:17:44 pm",Complete,,,English,https://developer.mozilla.org/,,,,,,,,Edge desktop,,,,,,,,,,,Current major version is enough,,Neutral,Somewhat important
243,"Oct 18, 2022 3:18:57 pm","Oct 18, 2022 3:18:57 pm",Complete,,,English,https://developer.mozilla.org/,,,Chrome desktop,Chrome on Android,,,,,,,,,,,,,,,Depends on the browser,,Very important,Somewhat important
244,"Oct 18, 2022 3:20:49 pm","Oct 18, 2022 3:20:49 pm",Complete,,,English,https://developer.mozilla.org/,,,Chrome desktop,Chrome on Android,,Firefox desktop,,Edge desktop,,Safari desktop,Safari on iOS,,,,,,,,Needs to be supported in more than current and previous major version,,Somewhat important,Somewhat important
245,"Oct 18, 2022 3:39:59 pm","Oct 18, 2022 3:39:59 pm",Complete,,,English,https://developer.mozilla.org/,,,Chrome desktop,,,Firefox desktop,,Edge desktop,,,,,,,,,,,Needs to be supported in current and previous major version,,Somewhat important,Very important
246,"Oct 18, 2022 3:47:31 pm","Oct 18, 2022 3:47:31 pm",Complete,,,English,https://developer.mozilla.org/,,,Chrome desktop,Chrome on Android,,Firefox desktop,Firefox on Android,Edge desktop,,Safari desktop,Safari on iOS,,,,,,,,Needs to be supported in more than current and previous major version,,Very important,Very important
247,"Oct 18, 2022 3:48:19 pm","Oct 18, 2022 3:48:19 pm",Complete,,,English,https://developer.mozilla.org/,,,Chrome desktop,,,Firefox desktop,,,,Safari desktop,Safari on iOS,,,,,,,,Needs to be supported in current and previous major version,,Neutral,Somewhat important
248,"Oct 18, 2022 3:50:35 pm","Oct 18, 2022 3:50:35 pm",Complete,,,English,https://developer.mozilla.org/,,,,Chrome on Android,,Firefox desktop,,,,,,,,,,,,,Current major version is enough,,Not important,Neutral
249,"Oct 18, 2022 3:52:12 pm","Oct 18, 2022 3:52:12 pm",Complete,,,English,https://developer.mozilla.org/,,,Chrome desktop,,,Firefox desktop,,,,,,,,,,,,,Current major version is enough,,Very important,Somewhat important
250,"Oct 18, 2022 3:56:37 pm","Oct 18, 2022 3:56:37 pm",Complete,,,English,https://developer.mozilla.org/,,,Chrome desktop,Chrome on Android,Android Webview,Firefox desktop,,Edge desktop,,,,,,,,,,,,,,
251,"Oct 18, 2022 4:05:58 pm","Oct 18, 2022 4:05:58 pm",Complete,,,English,https://developer.mozilla.org/,,,Chrome desktop,Chrome on Android,,Firefox desktop,,Edge desktop,,Safari desktop,Safari on iOS,,,,,,,,Needs to be supported in current and previous major version,,Somewhat important,Somewhat important
252,"Oct 18, 2022 4:12:39 pm","Oct 18, 2022 4:12:39 pm",Complete,,,English,https://developer.mozilla.org/,,,Chrome desktop,Chrome on Android,Android Webview,Firefox desktop,Firefox on Android,Edge desktop,,Safari desktop,Safari on iOS,,,Samsung Internet,,,,,Needs to be supported in more than current and previous major version,,Not important,Not important
253,"Oct 18, 2022 4:43:13 pm","Oct 18, 2022 4:43:14 pm",Complete,,,English,https://developer.mozilla.org/,,,Chrome desktop,Chrome on Android,Android Webview,Firefox desktop,,Edge desktop,Internet Explorer,Safari desktop,Safari on iOS,,,,,Other - Please specify,,Chrome IOS,Depends on the browser,Chrome IOS,Somewhat important,Somewhat important
254,"Oct 18, 2022 4:57:40 pm","Oct 18, 2022 4:57:40 pm",Complete,,,English,https://developer.mozilla.org/,,,Chrome desktop,,,,,,,,,,,,,,,,Current major version is enough,,Somewhat important,Somewhat important
255,"Oct 18, 2022 5:07:39 pm","Oct 18, 2022 5:07:39 pm",Complete,,,English,https://developer.mozilla.org/,,,Chrome desktop,Chrome on Android,,Firefox desktop,,Edge desktop,,Safari desktop,Safari on iOS,Opera desktop,,,,,,,Needs to be supported in current and previous major version,,Very important,Very important
256,"Oct 18, 2022 5:10:49 pm","Oct 18, 2022 5:10:49 pm",Complete,,,English,https://developer.mozilla.org/,,,Chrome desktop,Chrome on Android,Android Webview,,,Edge desktop,,,Safari on iOS,,,,,,,,Depends on the browser,,Somewhat important,Very important
257,"Oct 18, 2022 5:18:39 pm","Oct 18, 2022 5:18:39 pm",Complete,,,English,https://developer.mozilla.org/,,,Chrome desktop,Chrome on Android,Android Webview,Firefox desktop,Firefox on Android,Edge desktop,,,Safari on iOS,,,,,,,,Needs to be supported in current and previous major version,,Very important,Very important
258,"Oct 18, 2022 5:21:34 pm","Oct 18, 2022 5:21:34 pm",Complete,,,English,https://developer.mozilla.org/,,,Chrome desktop,Chrome on Android,,Firefox desktop,Firefox on Android,Edge desktop,,Safari desktop,Safari on iOS,Opera desktop,Opera on Android,Samsung Internet,,,,,Needs to be supported in more than current and previous major version,,Neutral,Neutral
259,"Oct 18, 2022 5:32:01 pm","Oct 18, 2022 5:32:01 pm",Complete,,,English,https://developer.mozilla.org/,,,Chrome desktop,,,Firefox desktop,,,,,,,,,,,,,Needs to be supported in current and previous major version,,Somewhat important,Very important
260,"Oct 18, 2022 5:39:34 pm","Oct 18, 2022 5:39:34 pm",Complete,,,English,https://developer.mozilla.org/,,,,,,Firefox desktop,,,,,,Opera desktop,,,,Other - Please specify,,vivaldi,Depends on the browser,,Somewhat important,Not important
261,"Oct 18, 2022 6:18:33 pm","Oct 18, 2022 6:18:33 pm",Complete,,,English,https://developer.mozilla.org/,,,Chrome desktop,Chrome on Android,,Firefox desktop,,,,,,,,,,Other - Please specify,,Chrome - iOS,Depends on the browser,,Very important,Very important
262,"Oct 18, 2022 6:49:53 pm","Oct 18, 2022 6:49:53 pm",Complete,,,English,https://developer.mozilla.org/,,,Chrome desktop,,,Firefox desktop,,Edge desktop,Internet Explorer,Safari desktop,,,,,,,,,Needs to be supported in more than current and previous major version,,Very important,Very important
263,"Oct 18, 2022 6:53:54 pm","Oct 18, 2022 6:53:54 pm",Complete,,,English,https://developer.mozilla.org/,,,,,,Firefox desktop,,,,,,,,,,,,,Current major version is enough,,Somewhat important,Not important
264,"Oct 18, 2022 7:14:39 pm","Oct 18, 2022 7:14:39 pm",Complete,,,English,https://developer.mozilla.org/,,,Chrome desktop,Chrome on Android,,Firefox desktop,Firefox on Android,Edge desktop,Internet Explorer,Safari desktop,Safari on iOS,Opera desktop,Opera on Android,Samsung Internet,,,,,Needs to be supported in more than current and previous major version,google.com,,Very important
265,"Oct 18, 2022 7:19:02 pm","Oct 18, 2022 7:19:02 pm",Complete,,,English,https://developer.mozilla.org/,,,Chrome desktop,Chrome on Android,Android Webview,,,,,,,,,,,,,,Current major version is enough,,Very important,Very important
266,"Oct 18, 2022 7:43:17 pm","Oct 18, 2022 7:43:17 pm",Complete,,,English,https://developer.mozilla.org/,,,Chrome desktop,Chrome on Android,,Firefox desktop,,,,,,,,,,,,,Needs to be supported in current and previous major version,,Not important,Not important
267,"Oct 18, 2022 8:52:16 pm","Oct 18, 2022 8:52:16 pm",Complete,,,English,https://developer.mozilla.org/,,,Chrome desktop,,,,,,,,Safari on iOS,,,,,,,,Current major version is enough,,Somewhat important,Somewhat important
268,"Oct 18, 2022 9:03:32 pm","Oct 18, 2022 9:03:32 pm",Complete,,,English,https://developer.mozilla.org/,,,Chrome desktop,Chrome on Android,Android Webview,Firefox desktop,Firefox on Android,Edge desktop,Internet Explorer,Safari desktop,Safari on iOS,Opera desktop,Opera on Android,Samsung Internet,,Other - Please specify,,,Current major version is enough,Yes,Somewhat important,Very important
269,"Oct 18, 2022 9:12:05 pm","Oct 18, 2022 9:12:06 pm",Complete,,,English,https://developer.mozilla.org/,,,Chrome desktop,Chrome on Android,Android Webview,Firefox desktop,Firefox on Android,,,Safari desktop,Safari on iOS,,,,,,,,Needs to be supported in more than current and previous major version,,Neutral,Neutral
270,"Oct 18, 2022 9:33:31 pm","Oct 18, 2022 9:33:31 pm",Complete,,,English,https://developer.mozilla.org/,,,Chrome desktop,Chrome on Android,,,,,,Safari desktop,Safari on iOS,,,,,,,,Needs to be supported in current and previous major version,,Not important,Somewhat important
271,"Oct 18, 2022 9:35:44 pm","Oct 18, 2022 9:35:44 pm",Complete,,,English,https://developer.mozilla.org/,,,,,,Firefox desktop,Firefox on Android,,,,,,,,,,,,Current major version is enough,,Somewhat important,Very important
272,"Oct 18, 2022 9:46:12 pm","Oct 18, 2022 9:46:12 pm",Complete,,,English,https://developer.mozilla.org/,,,Chrome desktop,Chrome on Android,,Firefox desktop,,Edge desktop,,Safari desktop,Safari on iOS,,,,,,,,Needs to be supported in current and previous major version,,Very important,Somewhat important
273,"Oct 18, 2022 9:54:16 pm","Oct 18, 2022 9:54:16 pm",Complete,,,English,https://developer.mozilla.org/,,,Chrome desktop,Chrome on Android,Android Webview,Firefox desktop,Firefox on Android,,,,,Opera desktop,Opera on Android,,,,,,Current major version is enough,,Neutral,Somewhat important
274,"Oct 18, 2022 10:06:18 pm","Oct 18, 2022 10:06:18 pm",Complete,,,English,https://survey.alchemer.com/,,,Chrome desktop,,,Firefox desktop,,Edge desktop,,,,,,,,,,,Current major version is enough,,Very important,Somewhat important
275,"Oct 18, 2022 10:14:38 pm","Oct 18, 2022 10:14:38 pm",Complete,,,English,https://developer.mozilla.org/,,,Chrome desktop,,,Firefox desktop,,,,Safari desktop,Safari on iOS,,,,,,,,Current major version is enough,,Somewhat important,Somewhat important
276,"Oct 18, 2022 10:16:31 pm","Oct 18, 2022 10:16:31 pm",Complete,,,English,https://developer.mozilla.org/,,,Chrome desktop,Chrome on Android,,Firefox desktop,Firefox on Android,Edge desktop,,Safari desktop,Safari on iOS,,,,,,,,Needs to be supported in more than current and previous major version,,Neutral,Neutral
277,"Oct 18, 2022 11:03:57 pm","Oct 18, 2022 11:03:57 pm",Complete,,,English,https://developer.mozilla.org/,,,Chrome desktop,Chrome on Android,,Firefox desktop,Firefox on Android,Edge desktop,,Safari desktop,Safari on iOS,,,,,,,,Needs to be supported in more than current and previous major version,,Very important,Very important
278,"Oct 18, 2022 11:07:35 pm","Oct 18, 2022 11:07:35 pm",Complete,,,English,https://developer.mozilla.org/,,,,,,Firefox desktop,,,,,,,,,,,,,Current major version is enough,,Not important,Not important
279,"Oct 18, 2022 11:19:56 pm","Oct 18, 2022 11:19:56 pm",Complete,,,English,https://developer.mozilla.org/en-US/docs/Web/HTTP/Headers/Content-Disposition,,,Chrome desktop,Chrome on Android,Android Webview,Firefox desktop,Firefox on Android,Edge desktop,,,Safari on iOS,,,,,,,,Depends on the browser,,Not important,Neutral
280,"Oct 18, 2022 11:36:58 pm","Oct 18, 2022 11:36:58 pm",Complete,,,English,https://developer.mozilla.org/en-US/docs/Web/CSS/:has,,,,,,Firefox desktop,,Edge desktop,,Safari desktop,,,,,,,,,Needs to be supported in more than current and previous major version,,Not important,Somewhat important
281,"Oct 18, 2022 11:41:46 pm","Oct 18, 2022 11:41:46 pm",Complete,,,English,https://developer.mozilla.org/,,,Chrome desktop,Chrome on Android,,Firefox desktop,,,,,,,,,,,,,Current major version is enough,,Not important,Not important
282,"Oct 18, 2022 11:44:51 pm","Oct 18, 2022 11:44:51 pm",Complete,,,English,https://developer.mozilla.org/,,,Chrome desktop,Chrome on Android,Android Webview,Firefox desktop,Firefox on Android,Edge desktop,,Safari desktop,Safari on iOS,Opera desktop,Opera on Android,Samsung Internet,,,,,Needs to be supported in current and previous major version,,Not important,Somewhat important
283,"Oct 18, 2022 11:53:41 pm","Oct 18, 2022 11:53:41 pm",Complete,,,English,https://developer.mozilla.org/,,,Chrome desktop,,,Firefox desktop,,Edge desktop,,,,,,,,,,,Current major version is enough,,Not important,Somewhat important
284,"Oct 19, 2022 12:31:29 am","Oct 19, 2022 12:31:29 am",Complete,,,English,https://developer.mozilla.org/,,,Chrome desktop,,,Firefox desktop,,Edge desktop,,Safari desktop,Safari on iOS,,,,,,,,Needs to be supported in more than current and previous major version,,Not important,Neutral
285,"Oct 19, 2022 12:36:54 am","Oct 19, 2022 12:36:54 am",Complete,,,English,https://developer.mozilla.org/,,,,Chrome on Android,,,,Edge desktop,,,,,,,,,,,Current major version is enough,,Somewhat important,Neutral
286,"Oct 19, 2022 1:18:29 am","Oct 19, 2022 1:18:29 am",Complete,,,English,https://developer.mozilla.org/,,,Chrome desktop,Chrome on Android,Android Webview,Firefox desktop,Firefox on Android,Edge desktop,Internet Explorer,,Safari on iOS,Opera desktop,Opera on Android,Samsung Internet,,Other - Please specify,,,Depends on the browser,,Very important,Very important
287,"Oct 19, 2022 1:32:49 am","Oct 19, 2022 1:32:49 am",Complete,,,English,https://developer.mozilla.org/,,,Chrome desktop,Chrome on Android,Android Webview,Firefox desktop,Firefox on Android,,,Safari desktop,Safari on iOS,,,,,,,,Needs to be supported in current and previous major version,,Very important,Very important
288,"Oct 19, 2022 1:33:52 am","Oct 19, 2022 1:33:52 am",Complete,,,English,https://developer.mozilla.org/,,,Chrome desktop,Chrome on Android,,Firefox desktop,,Edge desktop,,,,,,,,,,,Needs to be supported in current and previous major version,,Very important,Somewhat important
289,"Oct 19, 2022 1:35:56 am","Oct 19, 2022 1:35:56 am",Complete,,,English,https://developer.mozilla.org/,,,Chrome desktop,,,Firefox desktop,,Edge desktop,,Safari desktop,,,,,,,,,Needs to be supported in more than current and previous major version,,Very important,Very important
290,"Oct 19, 2022 2:06:41 am","Oct 19, 2022 2:06:41 am",Complete,,,English,https://developer.mozilla.org/,,,Chrome desktop,Chrome on Android,,Firefox desktop,Firefox on Android,,,Safari desktop,Safari on iOS,,,,,,,,Current major version is enough,,Neutral,Not important
291,"Oct 19, 2022 2:11:43 am","Oct 19, 2022 2:11:43 am",Complete,,,English,https://developer.mozilla.org/,,,Chrome desktop,Chrome on Android,,Firefox desktop,Firefox on Android,,,,,,,,,,,,Current major version is enough,,Not important,Somewhat important
292,"Oct 19, 2022 2:11:52 am","Oct 19, 2022 2:11:52 am",Complete,,,English,https://developer.mozilla.org/,,,Chrome desktop,Chrome on Android,,Firefox desktop,Firefox on Android,Edge desktop,,Safari desktop,Safari on iOS,Opera desktop,Opera on Android,,,,,,Current major version is enough,,Somewhat important,Neutral
293,"Oct 19, 2022 2:23:41 am","Oct 19, 2022 2:23:41 am",Complete,,,English,https://developer.mozilla.org/,,,Chrome desktop,Chrome on Android,,Firefox desktop,Firefox on Android,Edge desktop,,Safari desktop,Safari on iOS,,,,,,,,Current major version is enough,,Very important,Very important
294,"Oct 19, 2022 2:39:33 am","Oct 19, 2022 2:39:34 am",Complete,,,English,https://developer.mozilla.org/,,,,Chrome on Android,Android Webview,,,,,,,,Opera on Android,,,,,,Depends on the browser,Yes,Neutral,Very important
295,"Oct 19, 2022 2:40:26 am","Oct 19, 2022 2:40:26 am",Complete,,,English,https://survey.alchemer.com/,,,Chrome desktop,Chrome on Android,Android Webview,Firefox desktop,Firefox on Android,Edge desktop,,Safari desktop,Safari on iOS,,,,,,,,Needs to be supported in more than current and previous major version,,Neutral,Neutral
296,"Oct 19, 2022 2:49:42 am","Oct 19, 2022 2:49:42 am",Complete,,,English,https://developer.mozilla.org/,,,Chrome desktop,,,,,,,,Safari on iOS,,,,,,,,Needs to be supported in current and previous major version,,Somewhat important,Somewhat important
297,"Oct 19, 2022 3:00:14 am","Oct 19, 2022 3:00:14 am",Complete,,,English,https://developer.mozilla.org/,,,Chrome desktop,,,Firefox desktop,,Edge desktop,,Safari desktop,Safari on iOS,Opera desktop,,,,,,,Needs to be supported in more than current and previous major version,,Neutral,Somewhat important
298,"Oct 19, 2022 3:03:05 am","Oct 19, 2022 3:03:05 am",Complete,,,English,https://developer.mozilla.org/,,,Chrome desktop,,,Firefox desktop,,,,,,,,,,,,,Needs to be supported in more than current and previous major version,,Somewhat important,Very important
299,"Oct 19, 2022 3:13:31 am","Oct 19, 2022 3:13:31 am",Complete,,,English,https://developer.mozilla.org/,,,,,,,,,,,,,,,,,,,,,,
300,"Oct 19, 2022 3:14:43 am","Oct 19, 2022 3:14:43 am",Complete,,,English,https://developer.mozilla.org/,,,Chrome desktop,Chrome on Android,Android Webview,Firefox desktop,Firefox on Android,Edge desktop,,,,,,,,,,,Needs to be supported in current and previous major version,,Very important,Neutral
301,"Oct 19, 2022 3:38:49 am","Oct 19, 2022 3:38:49 am",Complete,,,English,https://developer.mozilla.org/,,,Chrome desktop,Chrome on Android,,Firefox desktop,Firefox on Android,,,,,,,,,,,,Depends on the browser,,Very important,Somewhat important
302,"Oct 19, 2022 3:39:04 am","Oct 19, 2022 3:39:04 am",Complete,,,English,https://developer.mozilla.org/,,,Chrome desktop,Chrome on Android,,Firefox desktop,Firefox on Android,Edge desktop,,,,Opera desktop,Opera on Android,,,,,,Needs to be supported in current and previous major version,,Neutral,Neutral
303,"Oct 19, 2022 4:04:10 am","Oct 19, 2022 4:04:10 am",Complete,,,English,https://developer.mozilla.org/,,,Chrome desktop,,,Firefox desktop,,Edge desktop,,,,,,,,,,,Needs to be supported in current and previous major version,,Neutral,Neutral
304,"Oct 19, 2022 4:28:24 am","Oct 19, 2022 4:28:24 am",Complete,,,English,https://developer.mozilla.org/,,,Chrome desktop,,,,,Edge desktop,,,,,,,,,,,Current major version is enough,,,
305,"Oct 19, 2022 4:41:52 am","Oct 19, 2022 4:41:52 am",Complete,,,English,https://developer.mozilla.org/,,,Chrome desktop,,,,,,,,,,,,,,,,Current major version is enough,,Neutral,Not important
